,Unnamed: 0.1,Unnamed: 0,title,vote_average,genres
0,0,0,Toy Story,7.7,Animation
1,1,1,Jumanji,6.9,Adventure
2,2,2,Grumpier Old Men,6.5,Romance
3,3,3,Waiting to Exhale,6.1,Comedy
4,4,4,Father of the Bride Part II,5.7,Comedy
5,5,5,Heat,7.7,Action
6,6,6,Sabrina,6.2,Comedy
7,7,7,Tom and Huck,5.4,Action
8,8,8,Sudden Death,5.5,Action
9,9,9,GoldenEye,6.6,Adventure
10,10,10,The American President,6.5,Comedy
11,11,11,Dracula: Dead and Loving It,5.7,Comedy
12,12,12,Balto,7.1,Family
13,13,13,Nixon,7.1,History
14,14,14,Cutthroat Island,5.7,Action
15,15,15,Casino,7.8,Drama
16,16,16,Sense and Sensibility,7.2,Drama
17,17,17,Four Rooms,6.5,Crime
18,18,18,Ace Ventura: When Nature Calls,6.1,Crime
19,19,19,Money Train,5.4,Action
20,20,20,Get Shorty,6.4,Comedy
21,21,21,Copycat,6.5,Drama
22,22,22,Assassins,6.0,Action
23,23,23,Powder,6.3,Drama
24,24,24,Leaving Las Vegas,7.1,Drama
25,25,25,Othello,7.0,Drama
26,26,26,Now and Then,6.6,Comedy
27,27,27,Persuasion,7.4,Drama
28,28,28,The City of Lost Children,7.6,Fantasy
29,29,29,Shanghai Triad,6.5,Drama
30,30,30,Dangerous Minds,6.4,Drama
31,31,31,Twelve Monkeys,7.4,Science Fiction
32,32,32,Wings of Courage,6.8,Romance
33,33,33,Babe,6.0,Fantasy
34,34,34,Carrington,6.4,History
35,35,35,Dead Man Walking,7.3,Drama
36,36,36,Across the Sea of Time,3.5,Adventure
37,37,37,It Takes Two,6.1,Comedy
38,38,38,Clueless,6.9,Comedy
39,39,39,"Cry, the Beloved Country",6.7,Drama
40,40,40,Richard III,6.9,Drama
41,41,41,Dead Presidents,6.6,Action
42,42,42,Restoration,6.3,Drama
43,43,43,Mortal Kombat,5.4,Action
44,44,44,To Die For,6.7,Fantasy
45,45,45,How To Make An American Quilt,6.5,Drama
46,46,46,Se7en,8.1,Crime
47,47,47,Pocahontas,6.7,Adventure
48,48,48,When Night Is Falling,5.9,Drama
49,49,49,The Usual Suspects,8.1,Drama
50,50,50,Guardian Angel,6.3,Action
51,51,51,Mighty Aphrodite,6.7,Comedy
52,52,52,Lamerica,7.7,Drama
53,53,53,The Big Green,5.2,Action
54,54,54,Georgia,6.1,Drama
55,55,55,Kids of the Round Table,3.0,Sin Dato
56,56,56,Home for the Holidays,6.3,Comedy
57,57,57,The Postman,7.6,Comedy
58,58,58,The Confessional,6.5,Thriller
59,59,59,The Indian in the Cupboard,5.9,Adventure
60,60,60,Eye for an Eye,5.8,Drama
61,61,61,Mr. Holland's Opus,6.9,Music
62,62,62,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,6.2,Comedy
63,63,63,Two If by Sea,4.5,Comedy
64,64,64,Bio-Dome,4.4,Comedy
65,65,65,Lawnmower Man 2: Beyond Cyberspace,2.8,Action
66,66,66,Two Bits,5.4,Drama
67,67,67,French Twist,6.0,Comedy
68,68,68,Friday,7.0,Comedy
69,69,69,From Dusk Till Dawn,6.9,Horror
70,70,70,Fair Game,4.1,Action
71,71,71,Kicking and Screaming,7.0,Comedy
72,72,72,Les Miserables,6.6,Drama
73,73,73,Bed of Roses,5.1,Drama
74,74,74,Big Bully,3.9,Comedy
75,75,75,Screamers,6.1,Horror
76,76,76,Nico Icon,7.3,Documentary
77,77,77,The Crossing Guard,6.1,Drama
78,78,78,The Juror,5.5,Drama
79,79,79,The White Balloon,7.5,Family
80,80,80,Things to Do in Denver When You're Dead,6.7,Drama
81,81,81,Antonia's Line,7.2,Drama
82,82,82,Once Upon a Time... When We Were Colored,4.5,Romance
83,83,83,Last Summer in the Hamptons,0.0,Sin Dato
84,84,84,Angels and Insects,6.3,Drama
85,85,85,White Squall,6.3,Action
86,86,86,Dunston Checks In,5.1,Adventure
87,87,87,Black Sheep,6.0,Comedy
88,88,88,Nick of Time,6.1,Crime
89,89,89,The Journey of August King,6.7,Drama
90,90,90,Mary Reilly,5.7,Drama
91,91,91,Vampire in Brooklyn,4.5,Comedy
92,92,92,Beautiful Girls,6.6,Comedy
93,93,93,Broken Arrow,5.7,Action
94,94,94,A Midwinter's Tale,7.5,Comedy
95,95,95,La Haine,7.9,Drama
96,96,96,Shopping,5.6,Action
97,97,97,Heidi Fleiss: Hollywood Madam,6.8,Documentary
98,98,98,City Hall,6.0,Drama
99,99,99,Bottle Rocket,6.8,Comedy
100,100,100,Mr. Wrong,3.3,Comedy
101,101,101,Unforgettable,5.3,Drama
102,102,102,Happy Gilmore,6.5,Comedy
103,103,103,The Bridges of Madison County,7.3,Drama
104,104,104,Nobody Loves Me,5.1,Drama
105,105,105,Muppet Treasure Island,6.5,Action
106,106,106,Catwalk,7.0,Documentary
107,107,107,Headless Body in Topless Bar,0.0,Crime
108,108,108,Braveheart,7.7,Action
109,109,109,Taxi Driver,8.1,Crime
110,110,110,Rumble in the Bronx,6.5,Crime
111,111,111,Before and After,5.8,Drama
112,112,112,Margaret's Museum,7.5,Drama
113,113,113,Happiness Is in the Field,7.0,Comedy
114,114,114,Anne Frank Remembered,7.3,Documentary
115,115,115,The Young Poisoner's Handbook,6.9,Comedy
116,116,116,If Lucy Fell,5.4,Comedy
117,117,117,Steal Big Steal Little,5.1,Comedy
118,118,118,Race the Sun,5.2,Action
119,119,119,The Boys of St. Vincent,7.0,Drama
120,120,120,Boomerang,5.4,Comedy
121,121,121,Chungking Express,7.9,Drama
122,122,122,The Star Maker,6.8,Drama
123,123,123,Flirting with Disaster,6.3,Comedy
124,124,124,The Neverending Story III: Escape from Fantasia,4.4,Fantasy
125,125,125,The Silences of the Palace,4.3,Drama
126,126,126,Jupiter's Wife,0.0,Sin Dato
127,127,127,Pie in the Sky,7.0,Comedy
128,128,128,Angela,5.6,Comedy
129,129,129,Frankie Starlight,5.4,Drama
130,130,130,Jade,5.1,Action
131,131,131,Nueba Yol,5.5,Comedy
132,132,132,Sonic Outlaws,0.0,Music
133,133,133,Down Periscope,5.6,Comedy
134,134,134,From the Journals of Jean Seberg,6.5,Documentary
135,135,135,Man of the Year,3.8,Comedy
136,136,136,The Neon Bible,7.2,Drama
137,137,137,Target,0.0,Sin Dato
138,138,138,Up Close & Personal,5.9,Drama
139,139,139,The Birdcage,6.7,Comedy
140,140,140,Virgin Mary,7.0,Drama
141,141,141,The Brothers McMullen,6.3,Comedy
142,142,142,Bad Boys,6.5,Action
143,143,143,The Amazing Panda Adventure,5.0,Action
